rule,support_ratio,confidence,conciseness
airports(t0) ^ airports(t1) ^ t0.latitude_deg == t1.latitude_deg ^ t0.longitude_deg == t1.longitude_deg  ->  t0.local_code == t1.local_code,2848,1.0,0.5
airports(t0) ^ airports(t1) ^ t0.iso_country == US ^ t0.keywords == t1.keywords  ->  t0.iata_code == t1.iata_code,337953168,0.8449248240466486,0.5
airports(t0) ^ airports(t1) ^ t0.gps_code == t1.gps_code ^ t0.iso_country == BR  ->  t0.iso_country == t1.iso_country,244556,0.9374846663395485,0.5
airports(t0) ^ airports(t1) ^ t0.iso_country == BR ^ t0.longitude_deg == t1.longitude_deg  ->  t0.local_code == t1.local_code,136,1.0,0.5
airports(t0) ^ airports(t1) ^ t0.elevation_ft == t1.elevation_ft ^ t0.iso_country == BR  ->  t0.wikipedia_link == t1.wikipedia_link,59286,0.9734016353068663,0.5
airports(t0) ^ airports(t1) ^ t0.iso_region == t1.iso_region ^ t0.name == t1.name  ->  t0.gps_code == t1.gps_code,3890,0.8679161088799643,0.5
airports(t0) ^ airports(t1) ^ t0.latitude_deg == t1.latitude_deg ^ t0.municipality == t1.municipality  ->  t0.iata_code == t1.iata_code,3442,0.9873780837636259,0.5
airports(t0) ^ airports(t1) ^ t0.iso_country == US ^ t0.municipality == t1.municipality ^ t0.type == t1.type  ->  t0.iata_code == t1.iata_code,78808,0.9301073999763956,0.3333333333333333
airports(t0) ^ airports(t1) ^ t0.iata_code == t1.iata_code  ->  t0.scheduled_service == t1.scheduled_service,2314467642,0.9922446718449229,1.0
airports(t0) ^ airports(t1) ^ t0.latitude_deg == t1.latitude_deg ^ t0.longitude_deg == t1.longitude_deg  ->  t0.wikipedia_link == t1.wikipedia_link,2834,0.9950842696629213,0.5
airports(t0) ^ airports(t1) ^ t0.latitude_deg == t1.latitude_deg ^ t0.municipality == t1.municipality  ->  t0.longitude_deg == t1.longitude_deg,3354,0.9621342512908778,0.5
airports(t0) ^ airports(t1) ^ t0.name == t1.name  ->  t0.home_link == t1.home_link,21038,0.9821661998132586,1.0
airports(t0) ^ airports(t1) ^ t0.iata_code == t1.iata_code  ->  t0.wikipedia_link == t1.wikipedia_link,1996978424,0.8561326004501866,1.0
